id,nombre,email,telefono,fecha
3,maria,maria431@correo.com,7538304769,2026-01-01
5,sofia,sofia462@mail.com,1508316489,2026-02-15
11,carlos,carlos40@example.com,0429553560,2026-02-07
13,carlos,carlos79@mail.com,9165096513,2026-02-09
19,lucia,lucia370@correo.com,3018554990,2026-01-21
31,luis,luis495@example.com,7843862280,2026-02-09
40,luis,luis522@example.com,1830818507,2026-01-01
43,maria,maria998@example.com,9261387342,2026-02-16
47,juan,juan496@correo.com,1556916835,2026-01-07
50,luis,luis301@mail.com,0325538513,2026-01-01
59,pedro,pedro954@mail.com,9043877273,2026-02-02
63,pedro,pedro845@correo.com,9209513303,2026-01-01
64,juan,juan286@mail.com,3651244549,2026-01-15
66,ana,ana330@correo.com,6076560396,2026-01-18
71,maria,maria649@correo.com,9566976667,2026-01-01
76,luis,luis63@mail.com,7332530706,2026-02-23
80,sofia,sofia192@mail.com,7053105779,2026-01-19
84,lucia,lucia518@mail.com,3509671460,2026-01-16
89,lucia,lucia999@mail.com,6352649513,2026-01-01
93,ana,ana58@mail.com,2797371370,2026-01-01
94,carlos,carlos792@correo.com,0654949582,2026-02-21
97,sofia,sofia202@correo.com,4716682292,2026-01-31
105,pedro,pedro954@mail.com,4134211128,2026-01-29
107,juan,juan843@mail.com,7280423190,2026-01-01
110,ana,ana801@example.com,9988977011,2026-01-01
112,carlos,carlos44@mail.com,1442388503,2026-01-31
113,luis,luis507@correo.com,4166722272,2026-01-29
125,juan,juan339@example.com,2840419292,2026-01-12
132,lucia,lucia559@mail.com,0153928402,2026-01-23
133,juan,juan479@correo.com,0197086057,2026-01-01
138,maria,maria978@mail.com,0661514541,2026-01-01
145,pedro,pedro277@correo.com,0884682849,2026-01-01
148,ana,ana642@example.com,2324119674,2026-01-17
155,maria,maria78@example.com,0925415500,2026-01-01
156,maria,maria201@correo.com,9261119138,2026-01-28
158,carlos,carlos62@example.com,2722173182,2026-03-02
163,luis,luis220@correo.com,4994683847,2026-02-17
165,sofia,sofia839@example.com,0985389937,2026-01-01
166,sofia,sofia374@mail.com,1873054258,2026-02-27
167,juan,juan125@mail.com,4713223756,2026-02-22
