id,nombre,email,telefono,estado,fecha
705,María,pedro@example.com,7777777777,activo,2025-12-22
148,Sofía,pedro@example.com,987654321,activo,2026-05-13
2528,Miguel,sofia@example.com,8888888888,inactivo,2025-10-12
30,Luis,juan@example.com,987654321,activo,2026-01-25
3850,Miguel,luis@example.com,8888888888,activo,2026-05-01
1536,Miguel,sofia@example.com,1234567890,activo,2026-03-12
3095,Ana,juan@example.com,2222222222,activo,2026-03-13
4739,Carlos,maria@example.com,4444444444,inactivo,2025-09-01
4945,María,lucia@example.com,4444444444,activo,2026-03-05
710,Ana,maria@example.com,1111111111,activo,2025-12-01
1220,Miguel,ana@example.com,7777777777,inactivo,2025-07-18
3809,Juan,pedro@example.com,6666666666,activo,2026-01-27
1578,Pedro,luis@example.com,3333333333,inactivo,2025-11-09
1746,Sofía,maria@example.com,3333333333,activo,2026-01-29
3841,Pedro,ana@example.com,2222222222,activo,2026-01-21
490,María,carlos@example.com,5555555555,activo,2026-05-24
1736,Pedro,pedro@example.com,2222222222,activo,2026-01-23
222,Isabel,luis@example.com,7777777777,activo,2026-03-31
33,Sofía,maria@example.com,3333333333,activo,2026-03-27
4497,Miguel,carlos@example.com,1111111111,activo,2026-04-09
2107,Isabel,ana@example.com,1234567890,activo,2026-05-27
3032,Luis,sofia@example.com,2222222222,activo,2026-01-24
1767,Miguel,pedro@example.com,4444444444,inactivo,2025-09-06
4368,Isabel,maria@example.com,3333333333,activo,2026-02-09
4551,María,carlos@example.com,5555555555,inactivo,2025-09-18
3442,Miguel,ana@example.com,7777777777,activo,2025-12-23
3949,Luis,luis@example.com,6666666666,inactivo,2025-07-10
4596,Pedro,pedro@example.com,3333333333,inactivo,2025-09-01
3605,María,lucia@example.com,1111111111,activo,2025-12-20
4940,Miguel,pedro@example.com,1234567890,activo,2026-02-01
1427,Pedro,carlos@example.com,987654321,activo,2026-02-11
2268,Miguel,isabel@example.com,4444444444,activo,2026-03-11
1515,Isabel,maria@example.com,8888888888,inactivo,2025-11-27
3387,Sofía,sofia@example.com,8888888888,activo,2026-05-12
1540,Isabel,luis@example.com,7777777777,inactivo,2025-09-01
3329,Juan,pedro@example.com,6666666666,activo,2026-05-20
4699,Ana,juan@example.com,3333333333,inactivo,2025-08-04
4994,Pedro,maria@example.com,987654321,inactivo,2025-08-15
2510,Luis,carlos@example.com,6666666666,inactivo,2025-10-16
2063,María,maria@example.com,987654321,inactivo,2025-08-12
1870,Sofía,carlos@example.com,7777777777,inactivo,2025-07-27
1576,Isabel,sofia@example.com,7777777777,inactivo,2025-09-14
3968,Pedro,pedro@example.com,4444444444,inactivo,2025-07-12
3452,Lucía,pedro@example.com,8888888888,activo,2026-01-04
489,Lucía,luis@example.com,1234567890,activo,2026-04-24
344,María,carlos@example.com,1234567890,activo,2026-01-07
3236,María,lucia@example.com,1111111111,inactivo,2025-10-23
3316,Luis,miguel@example.com,6666666666,inactivo,2025-09-21
4083,Ana,isabel@example.com,6666666666,inactivo,2025-11-25
4632,María,isabel@example.com,8888888888,activo,2026-05-26
1292,Carlos,maria@example.com,4444444444,activo,2025-12-26
3967,Pedro,maria@example.com,1111111111,activo,2026-04-15
203,María,juan@example.com,987654321,activo,2025-12-27
2097,María,sofia@example.com,4444444444,activo,2025-12-28
815,Pedro,sofia@example.com,987654321,activo,2026-01-18
527,Pedro,ana@example.com,987654321,inactivo,2025-10-21
194,Carlos,miguel@example.com,3333333333,inactivo,2025-06-08
16,Isabel,ana@example.com,2222222222,activo,2026-01-16
4517,Lucía,carlos@example.com,1111111111,activo,2025-12-14
3461,Miguel,miguel@example.com,987654321,inactivo,2025-07-11
